"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
11.0,11.782807997772485,3.0,22.231066392160013,8.0,14.0,0.005,0
21.0,19.899613913372708,6.399975318684773,35.510928731847685,13.0,23.303710927973988,0.015,0
39.0,41.47427904128855,17.883223941555148,68.75528167046498,29.9742310374941,52.0,0.025,1
46.0,49.28493597575714,25.501378975186466,82.4106239589837,40.0,58.99470578571346,0.035,13
51.0,55.38243813614486,30.525479011442858,83.93711450062067,47.736622258850836,65.31345520247856,0.045,73
50.0,53.38304688874981,35.033673217638835,83.35200435139984,44.0,61.0,0.055,65
56.0,55.32151893707722,32.37194534472323,75.57027353244231,48.0,62.0,0.065,64
43.0,46.156828108329066,31.82256145932448,65.65606745778926,38.0,56.0,0.075,51
42.0,42.24740115178838,22.92121522060363,59.59502399743671,37.0,46.41472606089431,0.085,48
36.0,35.7210625630442,20.195804604956997,49.99298666122246,29.0,44.0,0.095,38
32.0,30.340688431112817,16.63536747479303,47.0,23.0,35.0,0.105,28
28.0,28.92441509644933,14.0,43.312884794614526,20.0,35.5813475031553,0.115,25
24.0,21.724603101005226,8.606217576429467,32.0,17.0,26.0,0.125,18
21.0,21.286085760328277,8.921749744216458,38.24545527294466,17.0,25.0,0.135,16
17.0,17.244747458175024,5.0,33.59175070768231,12.0,19.844461773304797,0.145,15
13.0,14.55061759568603,6.0,25.935808596450418,10.0,19.363555858859446,0.155,12
12.0,12.426890153088484,5.0,19.538123142304016,9.0,17.0,0.165,15
10.0,10.814646507065616,4.0,20.619431966798757,7.0,15.0,0.175,10
11.0,11.396179546280553,4.962529719747535,21.0,7.0,14.0,0.185,9
10.0,10.290273725970675,4.0,19.0,5.0,14.0,0.195,12
8.0,8.878764919103027,2.924692269679672,17.13294181084272,6.0,11.0,0.205,8
10.0,11.926309765397734,2.282729732409294,21.0,7.709294808449801,17.0,0.215,10
12.0,12.265006677404736,4.0,22.0,6.367313278160888,17.0,0.225,12
13.0,13.239893771022734,4.0,23.917160936144978,8.0,19.0,0.235,17
14.0,15.146884921062929,5.0,30.42823914898231,12.0,18.0,0.245,20
15.0,15.604419949530445,9.0,24.0,10.0,20.058898314331095,0.255,11
17.0,16.624452314175475,5.0,26.67513118303761,12.0,22.0,0.265,23
18.0,18.44650582894153,8.065992708645204,30.228486998327213,15.71977861687775,22.0,0.275,21
18.0,18.66890393858522,11.0,25.63711415223781,16.0,22.0,0.285,18
19.0,20.13460673271033,13.625974118011504,30.0,17.0,23.0,0.295,20
20.0,20.037885091490228,10.0,31.0,15.0,23.0,0.305,21
19.0,19.230137371836058,12.0,29.116276477239303,16.0,22.0,0.315,14
15.0,15.994359231400123,9.632358145956427,29.770697382905606,13.0,18.0,0.325,15
17.0,17.211959086224024,9.0,30.330254552639058,14.0,20.0,0.335,9
16.0,14.697459101893676,5.0,25.392079316045763,11.0,19.0,0.345,9
14.0,13.27706913255523,3.327813374483697,22.0,10.0,17.0,0.355,15
10.0,10.664678684664569,2.0,19.6581537457691,8.0,14.0,0.365,15
8.0,7.633925377502021,3.0,14.703419110863402,5.0,9.0,0.375,13
9.0,8.6985290277045,3.0,16.274625136586437,6.0,11.0,0.385,7
7.0,6.563702722651332,1.0,11.449271998784834,5.0,8.0,0.395,14
6.0,6.4662607094601094,2.0,12.0,4.0,9.0,0.405,12
6.0,6.451527568227349,1.0,12.684697192328715,5.0,9.0,0.415,4
5.0,5.093356211627922,1.0,12.466470934936929,4.0,6.0,0.425,5
6.0,6.267292122690764,0.4538298897643496,13.660898263443555,4.0,8.863016400583072,0.435,8
7.0,6.987252778129692,1.0,14.141847431941088,4.0,10.0,0.445,5
7.0,7.083161497343709,3.0,12.348847725601123,5.5866411965430816,9.0,0.455,9
7.0,7.065015568499982,2.0,12.705507265637612,5.0,10.0,0.465,10
8.0,8.02072039715992,1.9471943402187208,13.758196025056346,6.0,10.0,0.475,12
7.0,6.760251727085068,1.0,13.0,5.0,9.0,0.485,5
8.0,8.290795784888836,3.8919678189209557,14.509651614155144,5.0,12.0,0.495,4
6.0,6.298683431888626,2.0,14.0,4.670380736186259,8.0,0.505,7
7.0,7.430737204244044,1.0,13.251177733720656,6.0,9.416501610388277,0.515,5
8.0,7.189702524111367,3.0,10.02351310771972,6.0,9.0,0.525,3
6.0,6.20518460418228,2.0,11.0,4.0,9.0,0.535,3
5.0,5.395559693129825,1.0,10.0,3.0,7.0,0.545,2
4.0,4.411705654902052,1.0,8.086912970012284,3.0,6.0,0.555,2
3.0,3.6658274771244677,1.0,7.0,2.0,5.0,0.565,2
3.0,2.8010268647473557,0.0,6.0,1.0,4.0,0.575,0
2.0,2.377625828834232,0.0,6.034922245759113,1.0,3.0,0.585,2
2.0,2.3468388357535668,0.0,7.4253718229165155,1.0,3.0,0.595,2
1.0,1.5539013770484384,0.0,5.069867458626257,0.0,2.0,0.605,1
0.0,0.864793582579788,0.0,3.3553851729623547,0.0,2.0,0.615,1
0.0,0.7330990172580183,0.0,3.5362126689072797,0.0,1.0,0.625,1
0.0,0.3494302276484487,0.0,2.7050103874224716,0.0,0.0,0.635,1
0.0,0.33727537281345066,0.0,1.0,0.0,1.0,0.645,0
0.0,0.18907410398545346,0.0,1.0,0.0,0.0,0.655,2
0.0,0.13589321632651113,0.0,1.0,0.0,0.0,0.665,0
0.0,0.02156878415592878,0.0,0.0,0.0,0.0,0.675,2
0.0,0.0,0.0,0.0,0.0,0.0,0.685,3
0.0,0.0,0.0,0.0,0.0,0.0,0.695,0
0.0,0.0,0.0,0.0,0.0,0.0,0.705,1
0.0,0.0,0.0,0.0,0.0,0.0,0.715,0
0.0,0.0,0.0,0.0,0.0,0.0,0.725,0
0.0,0.0,0.0,0.0,0.0,0.0,0.735,1
0.0,0.0,0.0,0.0,0.0,0.0,0.745,0
0.0,0.0,0.0,0.0,0.0,0.0,0.755,1
0.0,0.0,0.0,0.0,0.0,0.0,0.765,0
0.0,0.0,0.0,0.0,0.0,0.0,0.775,1
0.0,0.0,0.0,0.0,0.0,0.0,0.785,0
0.0,0.0,0.0,0.0,0.0,0.0,0.795,0
0.0,0.0,0.0,0.0,0.0,0.0,0.805,0
0.0,0.0,0.0,0.0,0.0,0.0,0.815,0
0.0,0.0,0.0,0.0,0.0,0.0,0.825,0
0.0,0.0,0.0,0.0,0.0,0.0,0.835,0
0.0,0.0,0.0,0.0,0.0,0.0,0.845,0
0.0,0.0,0.0,0.0,0.0,0.0,0.855,0
0.0,0.0,0.0,0.0,0.0,0.0,0.865,1
0.0,0.0,0.0,0.0,0.0,0.0,0.875,0
0.0,0.0,0.0,0.0,0.0,0.0,0.885,0
0.0,0.0,0.0,0.0,0.0,0.0,0.895,0
0.0,0.0,0.0,0.0,0.0,0.0,0.905,0
0.0,0.0,0.0,0.0,0.0,0.0,0.915,0
0.0,0.0,0.0,0.0,0.0,0.0,0.925,0
0.0,0.0,0.0,0.0,0.0,0.0,0.935,0
0.0,0.0,0.0,0.0,0.0,0.0,0.945,0
0.0,0.0,0.0,0.0,0.0,0.0,0.955,0
0.0,0.0,0.0,0.0,0.0,0.0,0.965,0
0.0,0.0,0.0,0.0,0.0,0.0,0.975,0
0.0,0.0,0.0,0.0,0.0,0.0,0.985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.995,0
