"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
33.91554419959706,51.29829024904435,0.1781118141452182,4.463218750592694,0.9635927880042251,0.5754,364.0,0.011258748644551151
37.67318226163029,104.43052577666077,0.2972497971195946,6.634781546280342,1.0396157005273021,0.6399,249.0,0.012798280226472504
34.34521615817257,111.37300792101885,0.31875843812484694,7.883437747896254,0.9837016622407981,0.4811,321.0,0.00812034573894249
33.468030349771155,93.03766694452239,0.23197452893108458,5.913446279808275,1.0114204893318453,0.5292,348.0,0.008370438892853223
33.57436336037296,54.62177177667782,0.28140743828889864,6.644057907442227,0.9713651070016246,0.5824,292.0,0.008750992752201689
26.003308076767,24.47622593571543,0.29916231636193924,7.1010670990211615,1.0362870573538325,0.5615,415.0,0.015236728086216704
34.03876318701019,60.05576118988624,0.2015094202953401,5.037421962068859,1.0222068860458453,0.5684,356.0,0.011152349475615567
26.184896676426376,67.80354205290124,0.3694442538401384,8.010235214784142,1.0543355166273753,0.6307,306.0,0.018231033508308285
34.122757027896775,8.736578897849355,0.32508963689316744,7.454046938035065,0.975611284249898,0.587,377.0,0.01595881018411567
38.85542268219901,76.05571063554183,0.22508243132525946,5.664973181499647,1.0217577405967624,0.5482,347.0,0.010767661528687742
42.36191405799561,91.4007529306609,0.224394594810942,5.689057817509593,0.9587230830460759,0.5409,343.0,0.017532293012927705
35.71041979725936,99.77953577315647,0.2605401424023308,6.60082332514444,0.9633269740510471,0.5113,286.0,0.017054079015493988
36.546133920940726,47.7450923131081,0.2865206537910124,6.608479091471599,0.9776588509207702,0.6074,332.0,0.01392645467474293
33.4512697349703,82.02104767910502,0.33894448345254496,8.137931793466858,1.046987146540646,0.5036,368.0,0.008938830582900136
38.15817733899854,63.373478473087786,0.2243148784732124,5.500140669022471,1.002016719616425,0.5757,336.0,0.015118097966196061
27.20955783111023,9.644298922810954,0.3515367865499069,8.07488724968854,1.0689535982560816,0.56,405.0,0.02094628926977734
39.34475747278988,38.45221333161402,0.18987843844092434,5.144143928794646,0.9857449102208014,0.4995,416.0,0.010347049647209564
29.38750055704425,59.97336620173795,0.33870245732577503,7.562008303906053,1.0042953701592587,0.6131,326.0,0.008610149214041393
26.17100967041656,19.776045586668644,0.4787456762796112,8.979627151541212,0.972536405673233,0.7578,290.0,0.025537271343341543
26.639662011749984,82.48084133505559,0.40498789070698304,9.023628776954125,1.028346302409699,0.5527,357.0,0.011807542543604409
26.760004364233946,118.08752516113161,0.2602958752281205,7.038458666445452,0.9662279349110146,0.4257,392.0,0.015449096228020627
28.096327362028426,126.94131109437127,0.36467597433246857,8.332902467133295,0.9666820912146411,0.5547,286.0,0.013449425413633908
31.811521182194586,53.53616555909645,0.24314420013997545,5.743197793801986,0.952774908085632,0.6045,383.0,0.009985712122807385
33.37926485276233,89.93674513503689,0.2794421333292923,6.341988732073568,0.9625799763460562,0.63,342.0,0.026386007878639345
31.144829294916505,13.918512926566144,0.39409017527136936,8.54748650962052,1.0986504350349118,0.6093,313.0,0.03299085883866345
32.53949259657175,124.4708252548975,0.2623343967067537,6.704499716255087,0.9759512272606266,0.4983,335.0,0.016283269119465225
30.962266065412702,90.33108651890257,0.2761757347120616,7.1583420392554284,1.0055375664164743,0.4638,396.0,0.013385673518969656
32.84681533464952,73.00946929776629,0.2490106409569544,6.041033566628766,1.068050752752573,0.5725,269.0,0.009665805214085924
26.283675365819626,86.43840788705538,0.440493897426626,10.03535404539939,1.0665004536031644,0.4624,390.0,0.014751973998849017
39.88009207804469,32.834169181544844,0.21905846673921395,4.973472966087548,0.9974678007587687,0.6485,277.0,0.011154696210674343
27.459316791997914,56.13971161469415,0.26211734402768994,6.233798284459802,1.047547055992677,0.5867,350.0,0.013357402137372892
32.30115699157592,70.01658285394603,0.3184947933582633,7.29608021461582,1.018332696761344,0.5936,321.0,0.007531602196473316
39.29562504148406,82.80720001484502,0.17106108473137774,4.417339312630137,1.0136664520587075,0.5536,313.0,0.013569340631300306
35.41680985691525,89.28746153912947,0.2120936774175143,5.399671201582925,0.96610050862209,0.5449,364.0,0.012180096922872462
41.26749048454683,87.11959175282263,0.2116555553685155,5.232744761358382,0.9860021139713004,0.574,340.0,0.011204955570949011
