"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
16.0,16.516887230611417,6.003370327996834,30.438455517824032,12.571548856547121,22.0,0.005,0
28.0,28.436457427808097,13.0,45.0,22.0,35.0,0.015,0
48.0,50.31128858200825,26.0,74.41577434041425,39.853639988600165,61.0,0.025,1
60.0,61.39936030112294,29.41458255143906,97.0,49.78877507629197,71.3477926681558,0.035,13
63.0,65.32724385333503,37.01068283705772,106.06835842818413,53.67033279686954,74.0,0.045,73
59.0,60.39382882906275,38.0,91.1014657809279,49.0,69.84416254367902,0.055,65
51.0,52.86224781662449,36.087984203342245,77.92651809649824,46.0,59.0,0.065,64
46.0,46.938535187127805,28.0,77.0,35.92686357959485,56.42429099818824,0.075,51
37.0,37.49767097607634,22.0,57.39226550213699,31.0,44.0,0.085,48
30.0,33.643627602213016,19.946728450629184,56.590860898744005,25.0,41.229029027204916,0.095,38
26.0,26.331577009043134,15.281152841266998,42.048857211744476,20.0,31.229847653337945,0.105,28
22.0,22.264840187372364,11.080774023915374,36.671271360778384,17.19305804421669,26.0,0.115,25
18.0,18.98151891600934,9.526030494857554,34.336737087116106,15.0,21.507342735978483,0.125,18
16.0,16.424943271315986,6.718559793323841,28.0,13.0,20.043152159762986,0.135,16
14.0,13.563676675328324,5.018374999385127,26.0,10.0,17.0,0.145,15
12.0,13.427149225252535,4.5839542836762135,25.343366035250316,9.0,18.0,0.155,12
11.0,11.78085748143088,4.0,24.664248660186544,8.0,13.0,0.165,15
10.0,11.860946314290397,4.0,23.527410168719864,8.0,14.645133179579032,0.175,10
9.0,10.969853838168,4.0,28.0,7.0,12.539617779316755,0.185,9
10.0,11.094173346430582,3.3486021155544794,28.09443947688575,6.956959251149014,13.864175059257608,0.195,12
12.0,12.268099646034576,2.6362206408618922,28.54925160051073,6.95085038395421,15.26747207197172,0.205,8
12.0,14.13916850236748,4.0,30.56082432793105,8.383779437843193,19.472405394199054,0.215,10
14.0,14.271188878573186,3.666407803485522,30.897019400076395,8.0,19.0,0.225,12
14.0,15.317706229383509,3.0,30.43130677946566,9.33058964642809,21.0,0.235,17
16.0,17.773456560857795,7.609157090040629,32.58058149582766,12.0,23.0,0.245,20
20.0,18.52499205279017,5.001601030602723,30.691058199612588,12.313817813330752,25.0,0.255,11
19.0,19.27463415550013,7.484412415559921,33.204906786294494,14.0,23.617223670729654,0.265,23
19.0,19.20071498610856,6.328316982374858,31.976349150996324,14.851756822907932,23.884937407017887,0.275,21
18.0,18.327841557308794,8.472754241393648,29.03217959200937,14.0,22.754798972597875,0.285,18
17.0,18.083015034564763,7.826279698911012,33.916961922851286,13.0,22.0,0.295,20
16.0,16.7164914911317,7.0,31.0,13.50454702541416,20.0,0.305,21
17.0,16.717668327806496,4.914060734236622,29.94609264123596,11.0,23.0,0.315,14
14.0,14.674521355734267,4.471840531604092,28.46597996292454,10.918911889864573,19.0,0.325,15
12.0,14.193044110054842,4.0,28.0,9.0,19.0,0.335,9
13.0,14.277997739220197,3.5050587742038655,30.949705225240198,8.0,19.0,0.345,9
12.0,12.261196548467034,2.0,27.201735645368842,7.0,16.0,0.355,15
9.0,10.938761782043956,1.053957788801727,22.0,6.194619825547304,15.404229420337773,0.365,15
9.0,10.207659841675405,3.0,21.366153036763638,6.0,12.202791799771749,0.375,13
8.0,9.290346923317575,1.5821041239932554,20.953336507099998,5.0,13.0,0.385,7
7.0,7.951023109316205,2.0,16.399293156946374,5.0,10.0,0.395,14
8.0,8.102194601582429,2.0,16.55645545190882,6.0,10.0,0.405,12
7.0,7.559934186411516,2.0,16.16789695901313,5.0,11.0,0.415,4
6.0,6.102216002139618,1.0,13.219455284396538,3.7643298168117307,8.0,0.425,5
7.0,7.22403994036482,2.146637174364123,14.0,5.0,9.0,0.435,8
