"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
71.0,76.1296433093943,44.28843107903785,118.04492421086609,63.0,90.0,0.005,81
148.0,150.1605522636009,102.66055315681064,215.98940936046807,122.84420232849871,168.0,0.015,152
119.0,125.50572485567898,93.0,168.82582844128288,110.07498684838646,142.27290799743955,0.025,163
75.0,76.2304594719961,54.103462538868776,103.62335482981558,70.0,81.0,0.035,67
44.0,45.95815486754882,31.0,71.11884991928872,37.36359587271263,55.0,0.045,55
28.0,28.98557516399622,14.650806950058364,47.0,23.18349331332516,34.0,0.055,27
20.0,21.204611895169727,8.0,33.28896606370505,17.0,25.7872045166478,0.065,28
14.0,15.518780067195726,6.0,29.0,10.0,20.0,0.075,13
10.0,11.051855173823716,4.0,23.734639949018824,7.7844572436223505,14.450561996040983,0.085,3
9.0,9.018753895755136,2.0,17.584876086942046,5.0,12.524288793266514,0.095,3
7.0,6.480294315210247,1.0,13.267124333151765,4.0,9.0,0.105,4
5.0,5.351188626592412,0.3264832899896802,11.981054435057215,3.0,7.0,0.115,5
4.0,4.6275960783807975,1.0,11.0,3.0,6.0,0.125,1
3.0,3.803959240791787,0.7034416309186099,10.0,1.908221164080822,5.0,0.135,3
4.0,3.8185902786119255,0.4443929790093159,9.0,2.0,5.0,0.145,3
5.0,4.968949080146068,1.0,11.0,2.7113637043776353,7.0,0.155,3
6.0,7.467391503169108,1.0,21.0,4.0,10.0,0.165,9
9.0,10.60207984613396,2.0,23.844312056853962,5.0,15.219398607432119,0.175,17
13.0,14.901250089887562,3.9115392308507024,32.0,9.0,19.132654457400808,0.185,14
18.0,19.656027958240703,7.1870573327144776,34.0,13.0,26.0,0.195,31
24.0,24.635154499859752,11.0,42.326511799767594,20.0,30.68799747893867,0.205,27
26.0,25.689262081729098,14.175113910210992,38.80660309302185,19.790940978893193,30.0,0.215,31
25.0,25.168703603430714,11.3148209753693,45.0,19.01219103708735,31.817744312576146,0.225,22
22.0,22.810163445176595,7.602321104554628,39.29236302334824,15.320575257511186,30.0,0.235,14
18.0,18.321529752638387,5.046944536163464,35.0,12.0,24.729907528992424,0.245,12
16.0,15.976947241027068,3.36175933219236,31.988647716987664,9.0,20.97183372225037,0.255,20
11.0,11.801775633044453,2.0,23.760957429183517,7.0,16.0,0.265,6
9.0,9.234950965738435,2.7629147349208134,21.403754206567918,6.0,12.0,0.275,11
9.0,9.41413867256625,2.0,19.0,7.0,12.0,0.285,10
13.0,12.759048168481318,4.0,22.0,9.406082924880682,16.0,0.295,17
19.0,18.35935715866188,7.0,34.0,13.0,23.0,0.305,22
28.0,27.668147915480386,11.0,49.42322830486806,20.0,35.0,0.315,30
36.0,35.72411278458352,18.0,56.07568856719951,28.0,41.577471926824806,0.325,32
42.0,42.06296593567057,20.0,60.0,37.0,48.0,0.335,40
42.0,43.42765343791716,29.247181714975376,59.300125925582215,37.0,50.0,0.345,37
42.0,41.494495543553704,27.578751499087776,54.06499004272424,37.525688699165954,46.47142000341075,0.355,44
34.0,34.76430311760157,22.137510368388924,48.77176900488822,29.0,39.22464669256621,0.365,43
27.0,26.013811181364723,14.31599881010147,40.69056797470243,20.229464961952672,30.0,0.375,23
18.0,17.625731580651603,7.876441212481706,32.71715034946386,12.024678907282178,20.0,0.385,19
9.0,9.626214491695892,2.6680104757612693,21.215481823640875,6.0,14.0,0.395,10
5.0,5.487918583131756,0.1962665062833284,16.3408339883255,2.0,8.0,0.405,4
2.0,2.7021803621801928,0.0,8.0,1.0,4.0,0.415,1
1.0,1.2302029929631024,0.0,5.0,0.0,2.0,0.425,1
0.0,0.5131531967723868,0.0,3.0,0.0,1.0,0.435,0
0.0,0.12332349218683356,0.0,1.0,0.0,0.0,0.445,0
0.0,0.06385479951459365,0.0,1.0,0.0,0.0,0.455,0
0.0,0.008484444248545744,0.0,0.0,0.0,0.0,0.465,0
0.0,0.0,0.0,0.0,0.0,0.0,0.475,0
