"mu","clonalmutations","cellularity","weight"
23.34443767352416,278.1436720143595,0.7118148381687172,0.0010304231949218702
21.097028513898103,277.7215619226701,0.7613702733843938,0.0014421422026098878
30.977212666981387,263.05110486525564,0.7240592345435358,0.001531688661486152
20.25429604397153,287.22492972917405,0.7469237752608846,0.0012162744443784505
22.611865403889105,275.29156325415494,0.7197983831173231,0.0010522153018986172
18.108139926954056,319.88004242627295,0.695365604012703,0.0016888666171773021
24.340698936588147,307.39952996878293,0.696574824381456,0.0011577589644029458
21.87924933226336,258.03565975337426,0.7298300309294969,0.0011234079600200206
18.875490278806947,295.1513498029327,0.738461037700687,0.0012988338590457318
30.33674189484296,266.4461564231141,0.7160717268985339,0.001382775804915339
26.272229143252908,218.65855239854938,0.7916436350207495,0.004832907066134148
34.55979488356345,246.22653402578294,0.7747602096704337,0.008655508798612795
27.036669800473476,273.0941981957801,0.6843144949103876,0.0015934156731365725
22.191110758180145,283.01932900550804,0.7344819013541172,0.0010775079754332944
23.3052175099103,281.8827126740579,0.7115691914110389,0.0010304231949218702
25.64169438619522,286.2912541591233,0.7369260360497556,0.0011021097616960521
24.961500094884265,280.7253170635185,0.7115912587310053,0.0010541887316032033
22.15652904533544,312.0710502028044,0.7220898694395816,0.0011676329995204567
23.041521152967587,282.2581370160996,0.755709000470421,0.0012702040526434222
29.652254619050296,297.8253511667036,0.7290594877876869,0.0013802369683924506
21.217662458801197,314.12381611777806,0.7026291267349346,0.0012497040370068066
29.665411137472418,216.49263959893966,0.7236272818686326,0.0023304253623673953
23.20953674525714,309.1274800959336,0.7075226835207516,0.0011215178316693868
22.574967384775512,218.03007277733266,0.7719466723776454,0.0031589206280423178
26.07127429120688,268.76794873279863,0.7683876206471594,0.0016251378450716017
27.847498332343594,251.02028657330777,0.7297340057406346,0.0012869140119115756
23.823485331511037,292.1800413773946,0.6826232718957299,0.0013770571393042126
26.16915723789508,282.12077433207037,0.7493777153722828,0.0012430499482239538
21.220597636462543,311.842749122247,0.7315672979853594,0.0012108624409918347
25.865169078245344,257.28308337787627,0.7447298383220282,0.0011607745002663959
23.83459658477049,280.6348595258832,0.7380982050354855,0.001051719783983996
24.685623285367882,266.76248271255736,0.7200008907266827,0.001017481604093623
18.703028475802885,279.2269524034514,0.7251322767220664,0.0012642442308837373
25.771312549349496,262.9281508452502,0.7394146550511951,0.00112200722494939
