"mu","clonalmutations","s","t","cellularity","freq","scmuts"
18.515633498049574,229.6139579897917,9.195834233436106,8.522896642272627,0.855041610830208,0.571,223.0
18.194191370297247,268.41459279271623,7.9433142313745835,8.182743980537571,0.8526692421449394,0.659,160.0
24.631646569523593,233.02373134345333,5.244593598669877,7.875834410973784,0.8411692572440694,0.607,207.0
14.709511590541544,301.84719425518574,5.782019787672974,7.8614037103063055,0.8560947826453141,0.529,158.0
15.325126312603434,260.91364964696345,9.091628423972626,8.614688323363573,0.8670759576295273,0.51,211.0
24.089651020420305,224.54376282491015,8.930383104064791,8.167748240620941,0.8463221292688972,0.666,197.0
22.664611463632944,272.9999151374035,8.661920848276637,8.640779999356335,0.8483883827695717,0.637,144.0
19.225092445570443,266.9294278968159,8.47972391070793,8.520841281530192,0.8667809111858343,0.606,175.0
17.500567267178916,267.3220255958724,9.933339939440861,8.589968630323373,0.8655859130874747,0.604,151.0
15.53442515820635,270.82822447804983,6.846189016462564,8.35767109773975,0.8543823092786483,0.59,169.0
