"mu","clonalmutations","s1","t1","s2","t2","cellularity","freq1","freq2","scmuts1","scmuts2","weight"
17.07648904541197,261.90089023982995,0.4956416010177848,2.8724658364948685,0.6918185735084922,6.420805987459118,0.7130066593155839,0.879,0.089,68.0,152.0,0.00020923918511108426
17.43721486504538,241.79948817343615,0.5179234128983692,3.557671751959798,0.49439415448928037,4.095459342372325,0.7071592266452144,0.659,0.304,86.0,99.0,0.0003845898359198979
21.193206586381837,200.43167561587853,0.26721857066138227,3.539820263651464,0.21311438327627927,0.5105509995651151,0.724778287166501,0.945,0.835,104.0,15.0,0.0002395483300465575
15.752861995941874,177.73410591124133,0.7565976512555749,6.639770632878958,0.5405449039552098,7.097685848939574,0.7359467637942112,0.812,0.087,145.0,155.0,0.00023954833004655648
19.84567674110464,176.98454529569804,0.41968095870183486,4.579828078513065,0.20793767935857438,0.7633046797521775,0.7190635286144715,0.938,0.735,126.0,21.0,0.0002395483300465575
18.78565610777179,219.08814078433196,0.09196902071033931,3.0719076993900853,0.19827693255682183,0.614381539878017,0.7179350226236391,0.928,0.889,80.0,16.0,0.00019727584360447416
18.24358830728212,239.58571466612972,0.42105298874500713,2.728245018048441,0.44060771593696163,5.140171773134744,0.7255341636120554,0.859,0.094,69.0,130.0,0.0005701085329833209
21.28521079302006,184.27333334898486,0.478454794837145,4.270091025164274,0.09508115022128633,0.5761233922840687,0.7163638425005199,0.9239999999999999,0.284,126.0,17.0,0.0002395483300465575
19.00665942299105,205.60522801933027,0.6178313338228593,3.984997466469637,0.22462312992093275,2.846426761764026,0.7321956800825197,0.893,0.073,105.0,75.0,0.0006611204058735357
17.445534705183128,221.03291413910642,0.5339565318560373,3.307883800111518,0.3357746350837643,3.762717822626852,0.7189722560820889,0.875,0.091,80.0,91.0,0.0003845898359198979
18.90480060938823,178.57557573742466,0.7574666888950792,5.227487575394853,0.6582155860323428,6.372192883875477,0.7264360715520461,0.858,0.103,137.0,167.0,0.00023954833004655648
19.617005320589126,180.07213170462586,0.6433534281144824,4.964158069417321,0.5578628162095972,6.765963590909534,0.7281300826500771,0.882,0.06,135.0,184.0,0.0002395483300465575
