"mu","clonalmutations","s","t","cellularity","frequency","scmuts","weight"
23.07716975548223,99.6026037198064,1.1143268044522339,7.2005748373242096,0.7229823464358681,0.9035,220.0,0.002610091943246471
18.618299729152533,134.99735826272672,0.8811076376222919,6.60610301626572,0.7458644298652441,0.8608,192.0,0.005045051304203161
22.176751718712367,102.5216010842566,0.873145693977921,5.184784837854933,0.7181024664216249,0.9437,185.0,0.002395115117239487
22.072391537594548,76.9121609208251,0.4626880329242057,3.219696095811937,0.7456848326850348,0.8911,243.0,0.004413322204193803
21.008670312415774,86.12639408676897,1.3592856440226215,7.648173124145545,0.715297478200826,0.932,239.0,0.002663840859487957
18.55083772991317,143.6928888129735,1.3520763133905664,7.721932420438881,0.7166049108161222,0.9273,162.0,0.003494170504455254
23.247393710697764,38.3440322840222,1.312869821707132,7.793365342109748,0.7376470488141778,0.9161,278.0,0.003534750349049529
23.6105649006093,22.160256917180533,1.287356802607657,7.752336564206734,0.7382385974872107,0.913,281.0,0.004294597727447385
22.147141898122015,66.60735053887797,0.674027908879502,4.443704339433604,0.7315398049671435,0.9205,247.0,0.0021466091243820804
23.377014139200817,62.75127400319164,0.7740778989886682,5.246108063105648,0.7253975941959111,0.9131,257.0,0.003414414143605002
19.926278629027383,121.00091565923421,0.8116882797755368,5.24899069345704,0.7232785326502643,0.9253,197.0,0.0019981566381057658
23.067668809585015,145.27229711361468,1.0172854862029592,6.766090485193946,0.7206527539365561,0.9025,168.0,0.004282941890031152
18.86368300348355,176.30300880777096,1.4517241653443704,8.306617400577663,0.7228852744220701,0.9145,124.0,0.0028406575147105445
