"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
90.0,90.48713756565253,57.076966421608304,120.49015727445982,76.0,102.0,0.005,66
186.0,184.26723527261788,137.59269275256898,224.75317554061294,168.0,203.0,0.015,164
160.0,159.83736411759918,137.0,188.98668611373606,148.0541115578346,169.12937126214595,0.025,168
106.0,106.35873262456838,84.40262904348043,130.0,96.15964273812756,116.0,0.035,121
67.0,66.5671836366241,46.853090929998686,85.38754902508302,59.0,72.3004825014742,0.045,76
43.0,43.02613494829285,28.60029467218504,56.838112419228544,38.0,48.0,0.055,40
27.0,27.663453111011236,16.153560388962028,44.0,22.341344143629325,32.087480689701884,0.065,18
17.0,18.30434685518326,10.508997160150313,29.0,14.0,22.160494997874377,0.075,8
14.0,14.450793674118742,6.0,26.637505002725046,11.0,18.0,0.085,14
11.0,11.80562798763178,4.0,20.82245915866175,9.0,15.0,0.095,5
10.0,9.95638103878138,3.0,16.442347143295326,7.0,12.0,0.105,15
8.0,8.39950946882514,3.0,16.257670836164998,6.0,11.0,0.115,13
5.0,6.294486382826236,1.0,15.457741550044663,3.0,9.0,0.125,12
6.0,6.421572294397747,1.0,14.399582203771441,4.0,8.0,0.135,8
4.0,4.620962786367679,0.0,11.0,2.0,7.0,0.145,5
3.0,4.210845465193924,0.0,10.0,2.0,6.0,0.155,2
4.0,4.012196197203912,0.0,11.0,1.0,6.0,0.165,2
3.0,3.3665528286113435,0.0,10.0,1.087030637237193,5.0,0.175,0
3.0,3.292472452774209,0.0,8.0,1.0,5.0,0.185,0
3.0,2.7588843038425197,0.0,7.0,1.0,4.0,0.195,0
2.0,2.815593133797223,0.0,8.595551921662517,1.0,4.0,0.205,2
2.0,2.57544935830628,0.0,7.0,1.0,4.0,0.215,5
2.0,2.5189443344060334,0.0,7.930232274372242,1.0,4.0,0.225,3
2.0,2.4883715440467173,0.0,8.0,1.0,4.0,0.235,6
2.0,2.6317640114582805,0.0,7.0,1.0,4.0,0.245,5
3.0,2.5686848969681835,0.0,6.0,1.0,4.0,0.255,8
2.0,2.6972927285301496,0.0,7.0,1.0,4.0,0.265,3
4.0,4.26958652253406,0.5816010353960719,9.0,2.0,6.0,0.275,7
7.0,7.073541401837031,1.513707042603273,12.0,5.0,9.0,0.285,4
